,Quarter,Tm,Detail,WAS,STL
0,1.0,Cardinals,Novo Bojovic 42 yard field goal,0,3
1,1.0,Cardinals,Roy Green 8 yard pass from Neil Lomax,0,9
2,2.0,Redskins,Mark Moseley 48 yard field goal,3,9
3,2.0,Redskins,Gary Clark 27 yard pass from Jay Schroeder (Mark Moseley kick),10,9
4,2.0,Redskins,Mark Moseley 30 yard field goal,13,9
5,3.0,Redskins,George Rogers 1 yard rush (Mark Moseley kick),20,9
6,4.0,Redskins,Keith Griffin 1 yard rush (Mark Moseley kick),27,9
7,4.0,Cardinals,Clyde Duncan 2 yard pass from Neil Lomax (Novo Bojovic kick),27,16
