,Quarter,Tm,Detail,SDG,TAM
0,1.0,Chargers,John Carney 48 yard field goal,3,0
1,1.0,Chargers,Anthony Miller 48 yard pass from Stan Humphries (John Carney kick),10,0
2,2.0,Buccaneers,Michael Husted 21 yard field goal,10,3
3,2.0,Chargers,John Carney 38 yard field goal,13,3
4,3.0,Buccaneers,Lamar Thomas 20 yard pass from Craig Erickson (Michael Husted kick),13,10
5,3.0,Chargers,John Carney 43 yard field goal,16,10
6,4.0,Buccaneers,Courtney Hawkins 42 yard pass from Craig Erickson (Michael Husted kick),16,17
7,4.0,Chargers,John Carney 45 yard field goal,19,17
8,4.0,Chargers,Duane Young 12 yard pass from Stan Humphries,25,17
9,4.0,Chargers,Natrone Means 15 yard rush (John Carney kick),32,17
