,Quarter,Time,Tm,Detail,TAM,STL
0,1.0,10:57,Rams,Jeff Wilkins 44 yard field goal,0,3
1,2.0,13:19,Buccaneers,Mike Alstott 7 yard rush (Martin Gramatica kick),7,3
2,2.0,5:06,Rams,Jeff Wilkins 42 yard field goal,7,6
3,2.0,2:10,Buccaneers,Martin Gramatica 36 yard field goal,10,6
4,2.0,0:00,Rams,Jeff Wilkins 24 yard field goal,10,9
5,3.0,8:36,Buccaneers,Mike Alstott 8 yard rush (Martin Gramatica kick),17,9
6,3.0,1:41,Rams,Brandon Manumaleuna 1 yard pass from Kurt Warner (Marshall Faulk run),17,17
7,4.0,11:13,Buccaneers,Warrick Dunn 21 yard rush (Martin Gramatica kick),24,17
