,Quarter,Time,Tm,Detail,PIT,OAK
0,1.0,6:12,Raiders,Nnamdi Asomugha 24 yard interception return (Sebastian Janikowski kick),0,7
1,2.0,10:18,Steelers,Jeff Reed 29 yard field goal,3,7
2,2.0,5:17,Steelers,Jeff Reed 39 yard field goal,6,7
3,2.0,0:04,Raiders,Sebastian Janikowski 19 yard field goal,6,10
4,3.0,12:23,Raiders,Sebastian Janikowski 41 yard field goal,6,13
5,4.0,9:32,Raiders,Chris Carr 100 yard interception return (Sebastian Janikowski kick),6,20
6,4.0,7:19,Steelers,Willie Parker 25 yard pass from Ben Roethlisberger (Jeff Reed kick),13,20
