,Quarter,Tm,Detail,BAL,NWE
0,1.0,Patriots,Jeff White 40 yard field goal,0,3
1,1.0,Colts,George Hunt 38 yard field goal,3,3
2,2.0,Patriots,John Tarver 1 yard rush (Jeff White kick),3,10
3,3.0,Colts,George Hunt 27 yard field goal,6,10
4,3.0,Patriots,John Tarver 3 yard rush (Jeff White kick),6,17
5,4.0,Colts,George Hunt 38 yard field goal,9,17
6,4.0,Patriots,Randy Vataha 46 yard offensive fumble return (Jeff White kick),9,24
7,4.0,Colts,Cotton Speyrer 22 yard pass from Bert Jones (George Hunt kick),16,24
