,Quarter,Time,Tm,Detail,NYJ,SDG
0,1.0,7:31,Chargers,Antonio Gates 8 yard pass from Philip Rivers (Nick Novak kick),0,7
1,2.0,10:15,Chargers,Antonio Gates 12 yard pass from Philip Rivers (Nick Novak kick),0,14
2,2.0,0:42,Chargers,Branden Oliver 15 yard rush (Nick Novak kick),0,21
3,3.0,6:44,Chargers,Branden Oliver 9 yard pass from Philip Rivers (Nick Novak kick),0,28
4,4.0,13:28,Chargers,Nick Novak 34 yard field goal,0,31
