,Quarter,Time,Tm,Detail,SFO,PIT
0,1.0,4:20,Steelers,Heath Miller 2 yard pass from Ben Roethlisberger (Antonio Brown pass from Ben Roethlisberger),0,8
1,2.0,10:27,49ers,Phil Dawson 47 yard field goal,3,8
2,2.0,8:07,Steelers,DeAngelo Williams 2 yard rush (Heath Miller pass from Ben Roethlisberger),3,16
3,2.0,5:45,Steelers,Darrius Heyward-Bey 35 yard pass from Ben Roethlisberger (Josh Scobee kick failed),3,22
4,2.0,1:58,Steelers,DeAngelo Williams 2 yard rush (Josh Scobee kick),3,29
5,4.0,13:16,49ers,Anquan Boldin 14 yard pass from Colin Kaepernick (Phil Dawson kick),10,29
6,4.0,10:25,Steelers,DeAngelo Williams 1 yard rush (Josh Scobee kick),10,36
7,4.0,9:43,49ers,Torrey Smith 75 yard pass from Colin Kaepernick (Torrey Smith pass from Colin Kaepernick),18,36
8,4.0,7:43,Steelers,Antonio Brown 7 yard pass from Ben Roethlisberger (Josh Scobee kick),18,43
