,Quarter,Tm,Detail,LOU,DET
0,1.0,Panthers,John Barrett fumble recovery in end zone (Gus Sonnenberg kick),0,7
1,1.0,Panthers,Gus Sonnenberg 27 yard field goal,0,10
2,2.0,Panthers,Gus Sonnenberg 20 yard field goal,0,13
3,2.0,Panthers,Dutch Lauer unknown yard pass from Eddie Scharer,0,19
4,3.0,Panthers,Eddie Scharer unknown yard rush (Gus Sonnenberg kick),0,26
5,4.0,Panthers,Dinger Doane unknown yard rush (Gus Sonnenberg kick),0,33
6,4.0,Panthers,Bruce Gregory 30 yard pass from Eddie Scharer (Gus Sonnenberg kick),0,40
7,4.0,Panthers,Jimmy Conzelman unknown yard rush (Jimmy Conzelman kick),0,47
