,Quarter,Tm,Detail,DET,KAN
0,2.0,Chiefs,Nick Lowery 38 yard field goal,0,3
1,2.0,Lions,Jeff Chadwick 14 yard pass from Rusty Hilger (Eddie Murray kick),7,3
2,3.0,Chiefs,Nick Lowery 43 yard field goal,7,6
