,Quarter,Time,Tm,Detail,BUF,TEN
0,2,2:41,Bills,Lee Smith 8 yard pass from Josh Allen (Stephen Hauschka kick),7,0
1,3,7:05,Titans,Derrick Henry 1 yard rush (Cairo Santos kick),7,7
2,4,9:49,Bills,Duke Williams 7 yard pass from Josh Allen (Stephen Hauschka kick),14,7
