,Quarter,Tm,Detail,NYJ,CIN
0,2.0,Bengals,Boobie Clark 1 yard rush (Horst Muhlmann kick),0,7
1,2.0,Bengals,Horst Muhlmann 16 yard field goal,0,10
2,2.0,Bengals,Isaac Curtis 24 yard pass from Ken Anderson (Horst Muhlmann kick),0,17
3,2.0,Jets,Jerome Barkum 3 yard pass from Al Woodall (Bobby Howfield kick),7,17
4,3.0,Jets,Rich Caster 12 yard pass from Al Woodall (Bobby Howfield kick),14,17
5,4.0,Bengals,Horst Muhlmann 51 yard field goal,14,20
