,Quarter,Tm,Detail,BUF,CRD
0,1.0,Cardinals,"Safety, bad snap into end zone",0,2
1,1.0,Cardinals,Paddy Driscoll 4 yard rush (Paddy Driscoll kick),0,9
2,1.0,Bisons,Jim Kendrick 1 yard rush,6,9
3,2.0,Cardinals,Hal Erickson unknown yard rush (Paddy Driscoll kick),6,16
4,4.0,Cardinals,Bob Koehler 4 yard rush (Ike Mahoney kick),6,23
