,Quarter,Tm,Detail,DAL,PHI
0,1.0,Cowboys,"Safety, Bradley tackled by Washington in end zone",2,0
1,1.0,Eagles,Larry Watkins 15 yard rush (Tom Dempsey kick),2,7
2,2.0,Cowboys,Walt Garrison 3 yard pass from Craig Morton (Toni Fritsch kick),9,7
3,2.0,Cowboys,Toni Fritsch 42 yard field goal,12,7
4,3.0,Cowboys,John Niland offensive fumble recovery in end zone (Toni Fritsch kick),19,7
5,4.0,Cowboys,"Safety, ball centered out of end zone",21,7
6,4.0,Cowboys,Calvin Hill 6 yard rush (Toni Fritsch kick),28,7
