,Quarter,Tm,Detail,SFO,SDG
0,4,Chargers,Bo Matthews 2 yard rush (Ray Wersching kick),0,7
1,4,49ers,Paul Hofer 13 yard pass from Scott Bull (Steve Mike-Mayer kick),7,7
2,OT,Chargers,Mercury Morris 13 yard rush,7,13
