,Quarter,Tm,Detail,BKN,DET
0,4.0,Lions,Glenn Presnell 15 yard rush (Glenn Presnell kick),0,28
1,3.0,Lions,Dutch Clark 3 yard rush (Dutch Clark kick),0,21
2,3.0,Lions,Dutch Clark 72 yard rush (Dutch Clark kick),0,14
3,3.0,Lions,Dutch Clark 1 yard rush (Dutch Clark kick),0,7
