,Quarter,Time,Tm,Detail,BUF,CHI
0,2.0,,Bears,Jeff Jaeger 41 yard field goal,0,3
1,2.0,,Bears,Ryan Wetnight 30 yard pass from Erik Kramer (Jeff Jaeger kick),0,10
2,2.0,,Bears,Ricky Proehl 3 yard pass from Erik Kramer (Jeff Jaeger kick),0,17
3,2.0,,Bills,Steve Christie 43 yard field goal,3,17
4,4.0,,Bears,Jeff Jaeger 38 yard field goal,3,20
