,Quarter,Time,Tm,Detail,SFO,NOR
0,1.0,,49ers,Doug Brien 40 yard field goal,3,0
1,1.0,,49ers,Brent Jones 4 yard pass from Steve Young (Doug Brien kick),10,0
2,2.0,,Saints,Mario Bates 3 yard rush (Morten Andersen kick),10,7
3,2.0,,49ers,John Taylor 4 yard pass from Steve Young (Doug Brien kick),17,7
4,2.0,,Saints,Tyrone Hughes 86 yard defensive fumble return (Morten Andersen kick),17,14
5,2.0,,49ers,Doug Brien 48 yard field goal,20,14
6,3.0,,49ers,Brent Jones 6 yard pass from Steve Young (Jerry Rice pass from Steve Young),28,14
7,4.0,,49ers,Nate Singleton 43 yard pass from Steve Young (Doug Brien kick),35,14
