,Quarter,Tm,Detail,CHI,GNB
0,1.0,Packers,Chris Jacke 40 yard field goal,0,3
1,2.0,Packers,Sterling Sharpe 21 yard pass from Brett Favre (Chris Jacke kick),0,10
2,2.0,Bears,Kevin Butler 33 yard field goal,3,10
3,4.0,Packers,Darrell Thompson 17 yard rush (Chris Jacke kick),3,17
