,Quarter,Tm,Detail,MIA,NYG
0,1.0,Giants,Ron Johnson 1 yard rush,0,6
1,1.0,Dolphins,Mercury Morris 12 yard rush (Garo Yepremian kick),7,6
2,1.0,Dolphins,Garo Yepremian 37 yard field goal,10,6
3,2.0,Dolphins,Paul Warfield 34 yard pass from Earl Morrall (Garo Yepremian kick),17,6
4,2.0,Giants,Ron Johnson 1 yard rush (Pete Gogolak kick),17,13
5,4.0,Dolphins,Garo Yepremian 31 yard field goal,20,13
6,4.0,Dolphins,Garo Yepremian 16 yard field goal,23,13
