,Quarter,Tm,Detail,DET,GNB
0,1.0,Lions,Errol Mann 37 yard field goal,3,0
1,2.0,Lions,Errol Mann 26 yard field goal,6,0
2,2.0,Packers,"Safety, Hendricks blocked punt out of end zone",6,2
3,2.0,Packers,Chester Marcol 35 yard field goal,6,5
4,2.0,Lions,Larry Walton 39 yard pass from Bill Munson (Errol Mann kick),13,5
5,2.0,Packers,Chester Marcol 36 yard field goal,13,8
6,3.0,Lions,Errol Mann 41 yard field goal,16,8
7,3.0,Packers,Chester Marcol 41 yard field goal,16,11
8,3.0,Packers,Barry Smith 27 yard pass from Jerry Tagge (Chester Marcol kick),16,18
9,3.0,Lions,Errol Mann 28 yard field goal,19,18
10,4.0,Packers,Chester Marcol 22 yard field goal,19,21
