,Quarter,Time,Tm,Detail,MIN,STL
0,1.0,9:37,Vikings,Blair Walsh 52 yard field goal,3,0
1,2.0,14:16,Vikings,Blair Walsh 46 yard field goal,6,0
2,2.0,0:21,Vikings,Greg Jennings 8 yard pass from Matt Cassel (Blair Walsh kick),13,0
3,3.0,10:11,Rams,Greg Zuerlein 56 yard field goal,13,3
4,3.0,1:54,Vikings,Cordarrelle Patterson 67 yard rush (Blair Walsh kick),20,3
5,4.0,6:27,Vikings,Kyle Rudolph 7 yard pass from Matt Cassel (Blair Walsh kick),27,3
6,4.0,2:57,Vikings,Harrison Smith 81 yard interception return (Blair Walsh kick),34,3
7,4.0,1:31,Rams,Greg Zuerlein 46 yard field goal,34,6
