,Quarter,Tm,Detail,BAL,RAM
0,1.0,Colts,Lenny Moore 2 yard pass from Johnny Unitas (Steve Myhra kick),7,0
1,1.0,Rams,Paige Cothren 44 yard field goal,7,3
2,1.0,Rams,Jon Arnett 61 yard pass from Norm Van Brocklin (Paige Cothren kick),7,10
3,2.0,Rams,Paige Cothren 23 yard field goal,7,13
4,2.0,Rams,Elroy Hirsch 10 yard pass from Norm Van Brocklin (Paige Cothren kick),7,20
5,3.0,Colts,Alan Ameche 1 yard rush (Steve Myhra kick),14,20
6,4.0,Rams,Elroy Hirsch 23 yard pass from Norm Van Brocklin (Paige Cothren kick),14,27
7,4.0,Rams,Paige Cothren 17 yard field goal,14,30
8,4.0,Colts,Lenny Moore 92 yard kickoff return (Steve Myhra kick),21,30
9,4.0,Rams,Lamar Lundy 8 yard pass from Norm Van Brocklin (Paige Cothren kick),21,37
