,Quarter,Tm,Detail,CLE,DET
0,1.0,Lions,Jim Martin 27 yard field goal,0,3
1,3.0,Lions,Dave Middleton 10 yard pass from Tobin Rote (Jim Martin kick),0,10
2,3.0,Browns,Ray Renfro 58 yard pass from Milt Plum (Lou Groza kick),7,10
3,4.0,Lions,Jim Martin 27 yard field goal,7,13
4,4.0,Lions,John Henry Johnson 4 yard rush (Jim Martin kick),7,20
