,Quarter,Tm,Detail,BOS,BKN
0,1,Dodgers,Ollie Sansen 3 yard rush (Benny Friedman kick),0,7
1,4,Dodgers,Shipwreck Kelly 14 yard pass from Chris Cagle (Herman Hickman kick),0,14
