,Quarter,Time,Tm,Detail,CLE,BAL
0,1.0,6:14,Browns,Phil Dawson 38 yard field goal,3,0
1,1.0,1:29,Ravens,Anquan Boldin 8 yard pass from Joe Flacco (Billy Cundiff kick),3,7
2,2.0,5:59,Ravens,Anquan Boldin 12 yard pass from Joe Flacco (Billy Cundiff kick),3,14
3,2.0,0:13,Browns,Peyton Hillis 1 yard rush (Phil Dawson kick),10,14
4,4.0,14:54,Browns,Ben Watson 1 yard pass from Seneca Wallace (Phil Dawson kick),17,14
5,4.0,9:13,Ravens,Anquan Boldin 27 yard pass from Joe Flacco (Billy Cundiff kick),17,21
6,4.0,5:29,Ravens,Billy Cundiff 49 yard field goal,17,24
