,Quarter,Tm,Detail,BUF,NYJ
0,3.0,Bills,J.D. Hill 41 yard pass from Joe Ferguson (John Leypoldt kick),7,0
1,3.0,Jets,Rich Caster 19 yard pass from Joe Namath,7,6
2,4.0,Bills,John Leypoldt 36 yard field goal,10,6
3,4.0,Jets,Jerome Barkum 36 yard pass from Joe Namath (Pat Leahy kick),10,13
4,4.0,Jets,Ralph Baker 67 yard interception return (Pat Leahy kick),10,20
