,Quarter,Tm,Detail,MIN,CIN
0,2.0,Bengals,Horst Muhlmann 22 yard field goal,0,3
1,2.0,Bengals,Lemar Parrish 23 yard defensive fumble return (Horst Muhlmann kick),0,10
2,3.0,Bengals,Essex Johnson 40 yard rush (Horst Muhlmann kick),0,17
3,3.0,Bengals,Horst Muhlmann 38 yard field goal,0,20
4,4.0,Bengals,Bob Trumpy 7 yard pass from Ken Anderson (Horst Muhlmann kick),0,27
