,Quarter,Tm,Detail,RAM,ATL
0,2.0,Falcons,Steve Bartkowski 1 yard rush (Nick Mike-Mayer kick),0,7
1,2.0,Rams,Harold Jackson 19 yard pass from Ron Jaworski,6,7
2,3.0,Rams,Ron Jaworski 1 yard rush (Tom Dempsey kick),13,7
3,4.0,Rams,Ron Jessie 47 yard pass from Pat Haden (Tom Dempsey kick),20,7
4,4.0,Rams,Tom Dempsey 25 yard field goal,23,7
5,4.0,Falcons,Bubba Bean 50 yard pass from Steve Bartkowski (Nick Mike-Mayer kick),23,14
6,4.0,Rams,Monte Jackson 46 yard interception return (Tom Dempsey kick),30,14
