,Quarter,Time,Tm,Detail,TEN,NOR
0,1.0,2:44,Titans,Rob Bironas 33 yard field goal,3,0
1,2.0,12:55,Titans,Brandon Jones 35 yard pass from Vince Young (Rob Bironas kick),10,0
2,2.0,1:00,Saints,Reggie Bush 1 yard rush (Olindo Mare kick),10,7
3,3.0,7:55,Saints,Reggie Bush 1 yard rush (Olindo Mare kick),10,14
4,3.0,2:19,Titans,LenDale White 1 yard rush (Rob Bironas kick),17,14
5,4.0,8:55,Titans,Bo Scaife 3 yard pass from Vince Young (Rob Bironas kick),24,14
6,4.0,2:39,Titans,Vincent Fuller 61 yard interception return (Rob Bironas kick),31,14
