,Quarter,Tm,Detail,DET,RAI
0,1.0,Raiders,Chris Bahr 38 yard field goal,0,3
1,1.0,Raiders,Chris Bahr 34 yard field goal,0,6
2,2.0,Lions,Scott Williams 2 yard pass from Chuck Long (Eddie Murray kick),7,6
3,3.0,Raiders,Dokie Williams 14 yard pass from Rusty Hilger (Chris Bahr kick),7,13
4,4.0,Raiders,Marcus Allen 1 yard rush (Chris Bahr kick),7,20
5,4.0,Raiders,Vance Mueller 1 yard rush (Chris Bahr kick),7,27
