,Quarter,Time,Tm,Detail,CHI,DET
0,1.0,11:43,Bears,Allen Robinson 10 yard pass from Mitchell Trubisky (Eddy Pineiro kick),7,0
1,1.0,11:12,Lions,Kenny Golladay 75 yard pass from David Blough (Matt Prater kick),7,7
2,1.0,4:16,Lions,Marvin Jones 8 yard pass from David Blough (Matt Prater kick),7,14
3,2.0,3:13,Lions,Matt Prater 25 yard field goal,7,17
4,2.0,0:25,Bears,Eddy Pineiro 30 yard field goal,10,17
5,3.0,4:51,Bears,Jesper Horsted 18 yard pass from Mitchell Trubisky (Eddy Pineiro kick),17,17
6,4.0,10:51,Lions,Matt Prater 24 yard field goal,17,20
7,4.0,2:22,Bears,David Montgomery 3 yard pass from Mitchell Trubisky (Eddy Pineiro kick),24,20
