,Quarter,Tm,Detail,GNB,SFO
0,1.0,Packers,Max McGee 44 yard pass from Bart Starr (Paul Hornung kick),7,0
1,2.0,49ers,Tommy Davis 49 yard field goal,7,3
2,2.0,49ers,Kermit Alexander 70 yard punt return (Tommy Davis kick),7,10
3,2.0,Packers,Max McGee 33 yard pass from Zeke Bratkowski (Paul Hornung kick),14,10
4,3.0,49ers,Mike Lind 2 yard rush (Tommy Davis kick),14,17
5,3.0,49ers,Rudy Johnson 4 yard rush (Tommy Davis kick),14,24
