,Quarter,Time,Tm,Detail,TEN,PIT
0,1.0,,Oilers,Al Del Greco 43 yard field goal,3,0
1,2.0,,Oilers,Frank Wycheck 2 yard pass from Steve McNair (Al Del Greco kick),10,0
2,2.0,,Steelers,Charles Johnson 9 yard pass from Kordell Stewart (Norm Johnson kick),10,7
3,2.0,1:09,Oilers,Kevin Dyson 6 yard pass from Steve McNair (Al Del Greco kick),17,7
4,3.0,1:09,Oilers,Al Del Greco 32 yard field goal,20,7
5,3.0,1:09,Oilers,Eddie George 37 yard rush (Al Del Greco kick),27,7
6,4.0,1:09,Oilers,Willie Davis 29 yard pass from Steve McNair (Al Del Greco kick),34,7
7,4.0,1:09,Steelers,Courtney Hawkins 3 yard pass from Kordell Stewart (Charles Johnson pass from Kordell Stewart),34,15
8,4.0,10:26,Oilers,Lonnie Marts 27 yard interception return (Al Del Greco kick),41,15
9,4.0,10:26,Steelers,Charles Johnson 37 yard pass from Mike Tomczak (Charles Johnson pass from Mike Tomczak),41,23
10,4.0,10:26,Steelers,Charles Johnson 2 yard pass from Mike Tomczak (Will Blackwell pass from Mike Tomczak),41,31
