,Quarter,Tm,Detail,TAM,DAL
0,1.0,Cowboys,Rafael Septien 33 yard field goal,0,3
1,1.0,Cowboys,Rafael Septien 33 yard field goal,0,6
2,2.0,Buccaneers,Hugh Green 60 yard defensive fumble return (Bill Capece kick),7,6
3,2.0,Buccaneers,Bill Capece 32 yard field goal,10,6
4,2.0,Cowboys,Ron Springs 6 yard pass from Danny White (Rafael Septien kick),10,13
5,3.0,Cowboys,Rafael Septien 19 yard field goal,10,16
6,3.0,Buccaneers,Gordon Jones 49 yard pass from Doug Williams (Bill Capece kick),17,16
7,4.0,Cowboys,Monty Hunter 19 yard interception return (Rafael Septien kick),17,23
8,4.0,Cowboys,Timmy Newsome 10 yard pass from Danny White (Rafael Septien kick),17,30
