,Quarter,Time,Tm,Detail,SFO,MIA
0,1.0,,49ers,Derek Loville 3 yard rush (Jeff Wilkins kick),7,0
1,2.0,,Dolphins,Gary Clark 42 yard pass from Dan Marino (Pete Stoyanovich kick),7,7
2,2.0,,49ers,Jerry Rice 47 yard pass from Elvis Grbac (Jeff Wilkins kick),14,7
3,2.0,,49ers,Jeff Wilkins 33 yard field goal,17,7
4,2.0,,49ers,Brent Jones 23 yard pass from Elvis Grbac (Jeff Wilkins kick),24,7
5,3.0,,49ers,Brent Jones 2 yard pass from Elvis Grbac (Jeff Wilkins kick),31,7
6,3.0,,Dolphins,Bernie Parmalee 3 yard rush (pass failed),31,13
7,3.0,,49ers,Jerry Rice 46 yard pass from Elvis Grbac (Jeff Wilkins kick),38,13
8,3.0,,Dolphins,O.J. McDuffie 4 yard pass from Dan Marino (Pete Stoyanovich kick),38,20
9,4.0,,49ers,Jeff Wilkins 31 yard field goal,41,20
10,4.0,,49ers,Jeff Wilkins 20 yard field goal,44,20
