,Quarter,Tm,Detail,PHI,NYG
0,1.0,Giants,Ben Agajanian 35 yard field goal,0,3
1,2.0,Eagles,Frank Reagan 41 yard punt return (Cliff Patton kick),7,3
2,3.0,Eagles,Neill Armstrong 45 yard pass from Tommy Thompson (Cliff Patton kick),14,3
3,3.0,Eagles,Joe Muha 28 yard interception return (Cliff Patton kick),21,3
4,4.0,Eagles,Cliff Patton 13 yard field goal,24,3
