,Quarter,Time,Tm,Detail,SEA,ARI
0,1.0,6:09,Seahawks,Mike Davis 20 yard rush (Sebastian Janikowski kick),7,0
1,2.0,14:04,Cardinals,Phil Dawson 23 yard field goal,7,3
2,2.0,1:52,Cardinals,David Johnson 1 yard rush (Phil Dawson kick),7,10
3,3.0,4:59,Seahawks,Sebastian Janikowski 40 yard field goal,10,10
4,3.0,1:00,Seahawks,Mike Davis 1 yard rush (Sebastian Janikowski kick),17,10
5,4.0,8:59,Cardinals,Chad Williams 22 yard pass from Josh Rosen (Phil Dawson kick),17,17
6,4.0,0:00,Seahawks,Sebastian Janikowski 52 yard field goal,20,17
