,Quarter,Tm,Detail,FRN,BUF
0,1.0,Bisons,Jim Kendrick 12 yard field goal,0,3
1,2.0,Yellow Jackets,Tex Hamer 50 yard interception return,6,3
2,2.0,Yellow Jackets,Guy Chamberlin 65 yard pass from Hust Stockton,12,3
