,Quarter,Time,Tm,Detail,MIN,SFO
0,1.0,,49ers,Terry Kirby 16 yard pass from Steve Young (Gary Anderson kick),0,7
1,1.0,,49ers,William Floyd 1 yard rush (Gary Anderson kick),0,14
2,1.0,,Vikings,Cris Carter 10 yard pass from Randall Cunningham (Eddie Murray kick),7,14
3,2.0,,49ers,Terrell Owens 21 yard pass from Steve Young (Gary Anderson kick),7,21
4,2.0,,Vikings,Cris Carter 22 yard pass from Randall Cunningham (Eddie Murray kick),14,21
5,3.0,,49ers,Steve Young 4 yard rush (Gary Anderson kick),14,28
6,3.0,,Vikings,Eddie Murray 42 yard field goal,17,28
