,Quarter,Tm,Detail,CIN,PHI
0,1.0,Bengals,Ed Williams 1 yard rush (Dave Green kick),7,0
1,2.0,Bengals,Stan Fritts 3 yard rush (Dave Green kick),14,0
2,2.0,Bengals,Ed Williams 10 yard pass from Ken Anderson (Dave Green kick),21,0
3,2.0,Bengals,Dave Green 48 yard field goal,24,0
4,4.0,Bengals,John Reaves 3 yard rush (Dave Green kick),31,0
