,Quarter,Tm,Detail,NYG,RAM
0,1.0,Giants,Ali Haji-Sheikh 37 yard field goal,3,0
1,1.0,Giants,Rob Carpenter 1 yard rush (Ali Haji-Sheikh kick),10,0
2,2.0,Rams,Mike Lansford 38 yard field goal,10,3
3,3.0,Giants,Ali Haji-Sheikh 39 yard field goal,13,3
4,3.0,Rams,Eric Dickerson 14 yard rush (Mike Lansford kick),13,10
5,3.0,Giants,Ali Haji-Sheikh 36 yard field goal,16,10
6,4.0,Rams,Mike Lansford 22 yard field goal,16,13
