,Quarter,Time,Tm,Detail,KAN,BUF
0,1.0,2:01,Bills,C.J. Spiller 17 yard rush (Rian Lindell kick),0,7
1,2.0,12:29,Bills,C.J. Spiller 5 yard rush (Rian Lindell kick),0,14
2,2.0,3:29,Bills,Scott Chandler 10 yard pass from Ryan Fitzpatrick (Rian Lindell kick),0,21
3,3.0,7:32,Chiefs,Ryan Succop 33 yard field goal,3,21
4,3.0,5:35,Bills,Steve Johnson 49 yard pass from Ryan Fitzpatrick (Rian Lindell kick),3,28
5,3.0,3:46,Bills,Leodis McKelvin 88 yard punt return (Rian Lindell kick),3,35
6,4.0,6:26,Chiefs,Dwayne Bowe 33 yard pass from Matt Cassel (Ryan Succop kick),10,35
7,4.0,1:10,Chiefs,Dwayne Bowe 2 yard pass from Matt Cassel (Ryan Succop kick),17,35
