,Quarter,Tm,Detail,MIA,IND
0,1.0,Dolphins,Troy Stradford 18 yard pass from Dan Marino (Fuad Reveiz kick),7,0
1,2.0,Dolphins,Fuad Reveiz 27 yard field goal,10,0
2,2.0,Colts,Matt Bouza 17 yard pass from Gary Hogeboom (Dean Biasucci kick),10,7
3,2.0,Dolphins,Jim Jensen 6 yard pass from Dan Marino,16,7
4,3.0,Dolphins,Mark Clayton 10 yard pass from Dan Marino (Fuad Reveiz kick),23,7
5,3.0,Colts,Dean Biasucci 50 yard field goal,23,10
