,Quarter,Time,Tm,Detail,SDG,DEN
0,2.0,11:26,Chargers,Jermaine Fazande 1 yard rush,6,0
1,2.0,6:55,Chargers,John Carney 25 yard field goal,9,0
2,2.0,0:00,Chargers,John Carney 28 yard field goal,12,0
3,3.0,9:00,Broncos,Jason Elam 37 yard field goal,12,3
4,4.0,13:57,Broncos,Jason Elam 50 yard field goal,12,6
