,Quarter,Tm,Detail,HOU,RAM
0,1.0,Rams,Wendell Tyler 67 yard pass from Pat Haden (Frank Corral kick),0,7
1,1.0,Oilers,Toni Fritsch 50 yard field goal,3,7
2,2.0,Oilers,Toni Fritsch 41 yard field goal,6,7
3,2.0,Rams,Frank Corral 35 yard field goal,6,10
4,2.0,Rams,Walt Arnold 19 yard pass from Pat Haden (Frank Corral kick),6,17
5,3.0,Oilers,Rob Carpenter 33 yard pass from Ken Stabler (Toni Fritsch kick),13,17
6,3.0,Oilers,Ken Burrough 20 yard pass from Ken Stabler (Toni Fritsch kick),20,17
7,4.0,Rams,Frank Corral 36 yard field goal,20,20
8,4.0,Oilers,Willie Tullis 95 yard kickoff return (Toni Fritsch kick),27,20
