,Quarter,Tm,Detail,STL,WAS
0,1.0,Redskins,Vernon Dean defensive fumble recovery in end zone (Mark Moseley kick),0,7
1,2.0,Redskins,John Riggins 2 yard rush (Mark Moseley kick),0,14
2,2.0,Redskins,Mark Moseley 42 yard field goal,0,17
3,3.0,Redskins,Mel Kaufman 70 yard interception return (Mark Moseley kick),0,24
4,3.0,Cardinals,Roy Green 23 yard pass from Neil Lomax (Neil O'Donoghue kick),7,24
5,3.0,Redskins,John Riggins 2 yard rush (Mark Moseley kick),7,31
6,3.0,Redskins,Reggie Evans 1 yard rush (Mark Moseley kick),7,38
7,4.0,Redskins,Nick Giaquinto 1 yard rush (Mark Moseley kick),7,45
