,Quarter,Tm,Detail,MIL,STL
0,1,Badgers,Jimmy Conzelman 1 yard rush (Ben Winkelman kick),7,0
1,2,Badgers,Russ Blailock 40 yard rush (Ben Winkelman kick),14,0
2,3,Badgers,Ben Winkelman 40 yard field goal,17,0
