,Quarter,Tm,Detail,RAM,SFO
0,1.0,Rams,Tom Dempsey 47 yard field goal,3,0
1,2.0,49ers,Gene Washington 30 yard pass from Norm Snead (Steve Mike-Mayer kick),3,7
2,2.0,49ers,Delvin Williams 38 yard rush (Steve Mike-Mayer kick),3,14
3,3.0,Rams,Tom Dempsey 37 yard field goal,6,14
4,3.0,Rams,Monte Jackson 6 yard blocked punt return (Tom Dempsey kick),13,14
5,4.0,Rams,Tom Dempsey 51 yard field goal,16,14
6,4.0,Rams,Lawrence McCutcheon 22 yard pass from James Harris (Tom Dempsey kick),23,14
