,Quarter,Tm,Detail,PHO,NYG
0,1.0,Giants,Ottis Anderson 4 yard rush (Matt Bahr kick),0,7
1,1.0,Cardinals,Al Del Greco 39 yard field goal,3,7
2,2.0,Giants,Matt Bahr 34 yard field goal,3,10
3,2.0,Cardinals,Luis Sharpe 1 yard pass from Timm Rosenbach (Al Del Greco kick),10,10
4,3.0,Cardinals,Al Del Greco 18 yard field goal,13,10
5,3.0,Cardinals,Al Del Greco 34 yard field goal,16,10
6,4.0,Cardinals,Al Del Greco 45 yard field goal,19,10
7,4.0,Giants,Stephen Baker 38 yard pass from Jeff Hostetler (Matt Bahr kick),19,17
8,4.0,Giants,Matt Bahr 40 yard field goal,19,20
