,Quarter,Tm,Detail,SFO,NYJ
0,1.0,49ers,Charle Young 15 yard pass from Steve DeBerg (Ray Wersching kick),7,0
1,1.0,49ers,Joe Montana 5 yard rush (Ray Wersching kick),14,0
2,2.0,49ers,Dwight Clark 20 yard pass from Joe Montana (Ray Wersching kick),21,0
3,2.0,49ers,Ray Wersching 25 yard field goal,24,0
4,2.0,Jets,Pat Leahy 49 yard field goal,24,3
5,3.0,Jets,Pat Leahy 35 yard field goal,24,6
6,3.0,49ers,Dwight Clark 7 yard pass from Joe Montana,30,6
7,4.0,Jets,Derrick Gaffney 15 yard pass from Richard Todd (Pat Leahy kick),30,13
8,4.0,49ers,Freddie Solomon 32 yard pass from Steve DeBerg (Ray Wersching kick),37,13
9,4.0,Jets,Bruce Harper 9 yard pass from Richard Todd (Pat Leahy kick),37,20
10,4.0,Jets,Paul Darby 13 yard pass from Richard Todd (Pat Leahy kick),37,27
