,Quarter,Tm,Detail,PIT,HOU
0,1,Oilers,Tony Zendejas 45 yard field goal,0,3
1,2,Steelers,Gary Anderson 42 yard field goal,3,3
2,2,Oilers,Ernest Givins 35 yard pass from Warren Moon (Tony Zendejas kick),3,10
3,3,Steelers,Calvin Sweeney 19 yard pass from Mark Malone (Gary Anderson kick),10,10
4,3,Steelers,Gary Anderson 45 yard field goal,13,10
5,4,Oilers,Tony Zendejas 29 yard field goal,13,13
6,4,Steelers,Gary Anderson 28 yard field goal,16,13
7,4,Oilers,Tony Zendejas 23 yard field goal,16,16
8,OT,Steelers,Walter Abercrombie 3 yard rush,22,16
