,Quarter,Tm,Detail,PHI,SFO
0,1.0,49ers,Wendell Tyler 2 yard rush (Ray Wersching kick),0,7
1,1.0,Eagles,Paul McFadden 36 yard field goal,3,7
2,2.0,49ers,Jerry Rice 14 yard pass from Matt Cavanaugh (Ray Wersching kick),3,14
3,3.0,49ers,Wendell Tyler 3 yard rush (Ray Wersching kick),3,21
4,3.0,Eagles,Mike Quick 82 yard pass from Ron Jaworski (Paul McFadden kick),10,21
5,3.0,Eagles,Paul McFadden 44 yard field goal,13,21
6,3.0,49ers,Ray Wersching 36 yard field goal,13,24
