,Quarter,Tm,Detail,KAN,RAI
0,1.0,Raiders,Ethan Horton 6 yard pass from Jay Schroeder (Jeff Jaeger kick),0,7
1,1.0,Raiders,Elvis Patterson special teams fumble recovery in end zone (Jeff Jaeger kick),0,14
2,2.0,Raiders,Steve Smith 11 yard pass from Jay Schroeder (Jeff Jaeger kick),0,21
3,2.0,Chiefs,Keith Cash 2 yard pass from Dave Krieg (Nick Lowery kick),7,21
4,3.0,Raiders,Willie Gault 17 yard pass from Jay Schroeder (Jeff Jaeger kick),7,28
