,Quarter,Tm,Detail,DET,BAL
0,1.0,Colts,Bert Rechichar 34 yard field goal,0,3
1,1.0,Lions,Harley Sewell fumble recovery in end zone (Doak Walker kick),7,3
2,2.0,Lions,Doak Walker 14 yard field goal,10,3
3,3.0,Lions,Bill Bowman 13 yard rush (Doak Walker kick),17,3
4,3.0,Lions,Doak Walker 23 yard field goal,20,3
5,4.0,Lions,Bob Hoernschemeyer 7 yard pass from Bobby Layne (Doak Walker kick),27,3
