,Quarter,Tm,Detail,CHI,RAM
0,2.0,Rams,Dick Hoerner 1 yard rush (Bob Waterfield kick),0,7
1,2.0,Bears,Johnny Lujack 16 yard field goal,3,7
2,3.0,Bears,Bones Weatherly 35 yard interception return (Johnny Lujack kick),10,7
3,3.0,Bears,John Hoffman 44 yard pass from Sid Luckman (Johnny Lujack kick),17,7
4,4.0,Rams,Elroy Hirsch 37 yard pass from Bob Waterfield (Bob Waterfield kick),17,14
5,4.0,Bears,George Gulyanics 1 yard rush (Johnny Lujack kick),24,14
6,4.0,Rams,Dan Towler 2 yard rush,24,20
