,Quarter,Time,Tm,Detail,OAK,SFO
0,1,12:44,Raiders,Sebastian Janikowski 23 yard field goal,3,0
1,2,11:41,Raiders,Sebastian Janikowski 35 yard field goal,6,0
2,2,6:22,49ers,Terrell Owens 4 yard pass from Jeff Garcia (Wade Richey kick),6,7
3,2,0:19,49ers,Jerry Rice 5 yard pass from Jeff Garcia (Wade Richey kick),6,14
4,3,9:58,Raiders,Tyrone Wheatley 1 yard rush (Rich Gannon run),14,14
5,3,4:50,Raiders,Tim Brown 30 yard pass from Rich Gannon (Sebastian Janikowski kick),21,14
6,4,14:48,Raiders,Rich Gannon 13 yard rush (Sebastian Janikowski kick),28,14
7,4,9:51,49ers,Terrell Owens 31 yard pass from Jeff Garcia (Wade Richey kick),28,21
8,4,8:38,49ers,Charlie Garner 9 yard pass from Jeff Garcia (Wade Richey kick),28,28
9,OT,4:45,Raiders,Tim Brown 31 yard pass from Rich Gannon,34,28
