,Quarter,Tm,Detail,GNB,FRN
0,1.0,Yellow Jackets,Chuck Kassel unknown yard pass from Charley Rogers,0,6
1,2.0,Yellow Jackets,Ken Mercer unknown yard field goal,0,9
2,2.0,Packers,Lavvie Dilweg 40 yard pass from Red Dunn (Red Dunn kick),7,9
3,3.0,Packers,Pid Purdy unknown yard field goal,10,9
4,4.0,Packers,Rex Enright 20 yard pass from Red Dunn (Red Dunn kick),17,9
