,Quarter,Tm,Detail,CHI,MIN
0,1.0,Bears,Roger LeClerc 25 yard field goal,3,0
1,3.0,Vikings,Paul Flatley 33 yard pass from Fran Tarkenton (Fred Cox kick),3,7
2,4.0,Vikings,Fred Cox 26 yard field goal,3,10
3,4.0,Bears,Roger LeClerc 12 yard field goal,6,10
4,4.0,Bears,Mike Ditka 19 yard pass from Rudy Bukich (Roger LeClerc kick),13,10
