,Quarter,Tm,Detail,IND,NYG
0,1.0,Giants,Rodney Hampton 1 yard rush (David Treadwell kick),0,7
1,2.0,Giants,Chris Calloway 17 yard pass from Phil Simms,0,13
2,2.0,Colts,Dean Biasucci 21 yard field goal,3,13
3,2.0,Colts,Dean Biasucci 26 yard field goal,6,13
4,4.0,Giants,Jarrod Bunch 2 yard rush (David Treadwell kick),6,20
