,Quarter,Time,Tm,Detail,MIA,BUF
0,1.0,4:47,Bills,Dan Carpenter 27 yard field goal,0,3
1,1.0,0:22,Bills,Dan Carpenter 27 yard field goal,0,6
2,2.0,10:22,Bills,Dan Carpenter 31 yard field goal,0,9
3,3.0,9:35,Dolphins,Caleb Sturgis 34 yard field goal,3,9
4,3.0,9:23,Bills,C.J. Spiller 102 yard kickoff return (Dan Carpenter kick),3,16
5,3.0,3:15,Dolphins,Mike Wallace 7 yard pass from Ryan Tannehill (Caleb Sturgis kick),10,16
6,3.0,0:13,Bills,Sammy Watkins 12 yard pass from EJ Manuel (Dan Carpenter kick),10,23
7,4.0,10:32,Bills,Dan Carpenter 32 yard field goal,10,26
8,4.0,1:54,Bills,Dan Carpenter 38 yard field goal,10,29
