,Quarter,Tm,Detail,NWE,NYJ
0,2.0,Jets,Carl Garrett 6 yard rush,0,6
1,2.0,Jets,Rich Caster 3 yard pass from Joe Namath (Pat Leahy kick),0,13
2,2.0,Jets,Rich Caster 21 yard pass from Joe Namath,0,19
3,3.0,Jets,Pat Leahy 47 yard field goal,0,22
4,3.0,Jets,Jerome Barkum 13 yard pass from Joe Namath (Pat Leahy kick),0,29
5,4.0,Patriots,Russ Francis 42 yard pass from Steve Grogan (John Smith kick),7,29
6,4.0,Jets,Jerome Barkum 4 yard pass from Joe Namath (Pat Leahy kick),7,36
