,Quarter,Tm,Detail,STL,SFO
0,1.0,49ers,Gene Washington 58 yard pass from Joe Reed,0,6
1,2.0,49ers,Bruce Gossett 20 yard field goal,0,9
2,2.0,Cardinals,Terry Metcalf 24 yard rush (Jim Bakken kick),7,9
3,3.0,Cardinals,Mel Gray 57 yard pass from Jim Hart (Jim Bakken kick),14,9
4,3.0,Cardinals,Donny Anderson 4 yard pass from Jim Hart (Jim Bakken kick),21,9
5,3.0,Cardinals,Jim Bakken 47 yard field goal,24,9
6,3.0,Cardinals,Mel Gray 59 yard pass from Jim Hart (Jim Bakken kick),31,9
7,4.0,Cardinals,Jim Bakken 42 yard field goal,34,9
