,Quarter,Tm,Detail,DET,RAM
0,1.0,Rams,Lou Zontini 1 yard rush (Lou Zontini kick),0,7
1,2.0,Lions,Dave Diehl 57 yard pass from Frankie Sinkwich,6,7
2,2.0,Rams,Jim Gillette 1 yard rush (Lou Zontini kick),6,14
3,3.0,Lions,Dave Diehl 33 yard pass from Frankie Sinkwich,12,14
4,4.0,Lions,Elmer Hackney 5 yard rush (Frankie Sinkwich kick),19,14
5,4.0,Lions,Dave Diehl 5 yard pass from Frankie Sinkwich (Frankie Sinkwich kick),26,14
