,Quarter,Time,Tm,Detail,TEN,DET
0,1.0,1:12,Titans,Joe Nedney 38 yard field goal,3,0
1,2.0,7:13,Titans,Joe Nedney 46 yard field goal,6,0
2,2.0,2:14,Lions,Johnnie Morton 18 yard pass from Charlie Batch (Jason Hanson kick),6,7
3,2.0,1:30,Lions,Germane Crowell 46 yard pass from Charlie Batch (Jason Hanson kick),6,14
4,2.0,0:00,Titans,Joe Nedney 30 yard field goal,9,14
5,3.0,12:14,Titans,Donald Mitchell 69 yard blocked field goal return (Drew Bennett pass from Steve McNair),17,14
6,4.0,9:38,Lions,Jason Hanson 23 yard field goal,17,17
7,4.0,4:41,Titans,Frank Wycheck 6 yard pass from Steve McNair (Joe Nedney kick),24,17
8,4.0,1:18,Lions,Desmond Howard 36 yard pass from Charlie Batch (Jason Hanson kick),24,24
9,4.0,0:05,Titans,Joe Nedney 46 yard field goal,27,24
